mode,Num_Provs,Num_EVs,Num_MSs,n_ev,n_ms,lat_min,lat_med,lat_max,lat_mean,lat_std,success_rate,calls_per_sec
cpex,1010,20,20,1,1,29.445,77.844,376.538,97.688,51.252,100.0,532
cpex,1010,20,20,1,2,31.068,73.791,257.688,85.141,40.378,100.0,481
cpex,1010,20,20,1,3,30.26,73.678,259.39,83.504,36.11,100.0,406
cpex,1010,20,20,1,4,29.344,72.726,249.121,81.967,32.897,100.0,347
cpex,1010,20,20,1,5,30.358,72.82,284.679,82.815,34.303,100.0,306
cpex,1010,20,20,1,6,30.062,72.932,243.594,81.949,31.52,100.0,276
cpex,1010,20,20,1,7,29.948,72.685,369.888,81.457,34.765,100.0,251
cpex,1010,20,20,1,8,29.84,72.268,254.628,81.259,32.01,100.0,226
cpex,1010,20,20,1,9,30.069,73.288,237.747,81.922,30.823,100.0,210
cpex,1010,20,20,1,10,30.136,73.314,199.425,81.226,30.139,100.0,195
cpex,1010,20,20,2,1,29.785,76.426,262.508,86.606,38.712,100.0,483
cpex,1010,20,20,2,2,30.163,74.452,280.626,82.616,35.55,100.0,412
cpex,1010,20,20,2,3,30.423,73.118,363.015,81.965,34.177,100.0,351
cpex,1010,20,20,2,4,30.316,73.125,261.807,82.971,35.69,100.0,306
cpex,1010,20,20,2,5,30.003,72.89,353.554,81.461,35.205,100.0,280
cpex,1010,20,20,2,6,30.363,72.746,223.671,80.846,33.98,100.0,255
cpex,1010,20,20,2,7,29.812,72.664,262.068,81.168,33.657,100.0,230
cpex,1010,20,20,2,8,30.28,72.116,252.072,81.201,31.695,100.0,210
cpex,1010,20,20,2,9,30.133,73.375,243.978,82.767,32.808,100.0,193
cpex,1010,20,20,2,10,31.044,72.236,252.995,80.974,31.919,100.0,179
cpex,1010,20,20,3,1,31.106,76.056,368.266,85.127,38.013,100.0,405
cpex,1010,20,20,3,2,30.278,73.768,256.467,82.021,35.24,100.0,353
cpex,1010,20,20,3,3,30.568,73.702,274.328,82.012,35.414,100.0,306
cpex,1010,20,20,3,4,29.755,73.068,286.797,81.631,34.326,100.0,274
cpex,1010,20,20,3,5,29.846,72.52,271.525,81.184,33.607,100.0,250
cpex,1010,20,20,3,6,30.097,72.966,295.85,81.232,32.722,100.0,228
cpex,1010,20,20,3,7,30.891,71.53,258.198,80.348,32.241,100.0,211
cpex,1010,20,20,3,8,30.355,72.869,252.631,80.774,31.861,100.0,193
cpex,1010,20,20,3,9,30.454,72.111,232.091,80.948,32.257,100.0,178
cpex,1010,20,20,3,10,30.149,72.35,209.783,81.107,30.137,100.0,165
cpex,1010,20,20,4,1,31.028,75.89,381.989,85.508,38.54,100.0,353
cpex,1010,20,20,4,2,30.779,74.043,264.974,82.954,33.837,100.0,307
cpex,1010,20,20,4,3,31.057,73.742,309.411,82.301,35.755,100.0,277
cpex,1010,20,20,4,4,30.489,72.996,266.554,81.817,33.875,100.0,252
cpex,1010,20,20,4,5,30.851,72.868,257.276,81.462,32.727,100.0,225
cpex,1010,20,20,4,6,31.64,73.054,234.674,81.629,32.653,100.0,212
