n,m,PUB:P,PUB:EV,PUB:MS,RET:P,RET:EV,RET:MS,Total
3,3,11.033,4.827,4.81,10.843,4.802,4.829,41.18067631497979
3,3,7.036,5.507,4.811,10.857,4.838,4.757,37.81549446284771
3,3,7.253,4.878,4.829,11.245,4.843,4.772,37.83023908423881
3,3,7.197,4.827,4.826,11.076,5.104,4.755,37.79645830703278
3,3,7.379,4.836,4.847,11.089,4.889,4.769,37.81529515981674
3,3,7.42,4.829,4.801,13.941,4.96,8.295,44.2680815855662
3,3,12.73,8.521,6.474,15.584,6.265,6.076,55.67057927449544
3,3,7.67,4.936,4.85,12.578,5.032,4.805,39.864088563869394
3,3,9.079,4.869,4.849,10.806,4.804,4.767,39.20993527087073
3,3,7.097,4.812,4.798,11.125,4.818,4.771,37.43158024735749
3,3,12.116,10.97,8.569,10.917,4.794,4.703,52.05882216493289
3,3,7.22,4.903,4.775,11.018,4.791,4.724,37.43848856538534
3,3,7.299,4.805,5.497,13.687,5.649,5.882,42.845443512002625
3,3,11.642,4.941,5.833,11.26,4.869,4.757,43.30706006536881
3,3,7.512,4.911,4.798,11.303,4.895,5.036,38.4617173889031
3,3,7.634,4.897,5.181,12.234,5.123,4.783,39.846025252093874
3,3,10.686,4.819,4.847,10.855,4.819,4.801,40.86006316356361
3,3,7.091,4.806,4.821,10.826,4.817,4.766,37.13620461833974
3,3,7.245,4.817,4.829,10.927,4.869,4.793,37.479168735444546
3,3,7.254,4.835,4.773,10.989,4.825,4.778,37.46343535992007
3,3,7.438,4.855,4.772,11.209,4.859,4.783,37.925595572839185
3,3,7.491,4.861,4.845,11.363,4.898,5.14,38.609106869747244
3,3,7.535,4.859,4.826,11.393,4.908,4.796,38.32406356620292
3,3,7.567,4.908,4.824,12.23,4.933,4.804,39.273872350653015
3,3,14.097,8.389,8.338,13.007,5.55,4.77,54.18682455395659
3,3,7.123,4.823,4.867,10.808,4.826,4.796,37.23919717594981
3,3,7.244,4.824,4.839,10.872,4.861,4.784,37.425335651884474
3,3,7.233,4.804,4.797,11.048,4.857,4.767,37.51358397615452
3,3,7.278,4.865,4.82,11.162,4.862,4.786,37.77944459579885
3,3,7.49,4.939,5.025,11.5,4.873,4.786,38.60541099372009
3,3,7.574,4.883,4.811,11.395,4.922,4.797,38.39572876070936
3,3,7.703,4.879,4.82,11.607,4.909,4.869,38.78282701286177
3,3,9.253,4.819,4.863,10.749,4.785,4.802,39.29951065219939
3,3,7.115,4.792,4.83,11.201,4.814,4.751,37.5107959844172
3,3,7.236,4.817,4.784,10.83,4.821,4.753,37.238280909756824
3,3,7.256,4.85,4.807,11.029,4.824,4.755,37.527170265093446
3,3,7.41,4.855,4.863,11.152,4.886,4.821,37.99357498064637
3,3,7.421,4.841,4.811,11.288,4.881,4.922,38.15979487262666
3,3,7.572,4.875,4.781,11.313,4.912,4.765,38.224236729244396
3,3,7.639,4.892,4.799,11.52,4.922,4.795,38.57464467485745
3,3,9.112,4.819,4.845,10.763,4.797,4.759,39.132102780664965
