protocol,latency,hops,oob_interaction,correct
atis,882.592,2,2,1
atis,577.604,5,2,1
atis,755.343,3,2,1
atis,483.338,2,2,1
atis,863.641,3,2,1
atis,725.616,3,2,1
atis,683.752,3,2,1
atis,332.264,4,2,1
atis,855.096,3,2,1
atis,693.024,2,2,1
atis,656.856,2,2,1
atis,332.077,4,2,1
atis,1002.182,4,2,1
atis,649.622,2,2,1
atis,734.626,4,2,1
atis,610.524,3,2,1
atis,847.533,3,2,1
atis,743.018,3,2,1
atis,706.698,2,2,1
atis,514.23,4,2,1
atis,948.034,4,2,1
atis,450.902,3,2,1
atis,568.066,3,2,1
atis,882.259,2,2,1
atis,898.133,3,2,1
atis,623.522,4,2,1
atis,802.062,4,2,1
atis,844.871,3,2,1
atis,657.659,2,2,1
atis,339.806,3,2,1
atis,634.387,3,2,1
atis,530.687,3,2,1
atis,688.479,4,2,1
atis,667.324,2,2,1
atis,574.6,2,2,1
atis,954.223,4,2,1
atis,757.844,3,2,1
atis,481.917,3,2,1
atis,547.693,4,2,1
atis,414.966,3,2,1
atis,1015.669,3,2,1
atis,810.526,4,2,1
atis,613.361,4,2,1
atis,482.732,4,2,1
atis,911.635,4,2,1
atis,1600.322,5,4,1
atis,790.186,4,2,1
atis,898.934,3,2,1
atis,673.058,3,2,1
atis,563.747,3,2,1
atis,664.118,3,2,1
atis,652.16,5,2,1
atis,860.739,3,2,1
atis,545.628,3,2,1
atis,509.195,3,2,1
atis,869.0,4,2,1
atis,1654.329,4,4,1
atis,1380.932,4,4,1
atis,499.692,3,2,1
atis,768.676,4,2,1
atis,730.876,5,2,1
atis,652.531,5,2,1
atis,476.18,5,2,1
atis,529.256,4,2,1
atis,1459.984,4,4,1
atis,853.675,3,2,1
atis,470.064,5,2,1
atis,959.291,3,2,1
atis,867.75,3,2,1
atis,592.24,4,2,1
atis,1321.209,4,2,1
atis,1397.966,5,4,1
atis,840.02,5,2,1
atis,643.268,4,2,1
atis,461.641,4,2,1
atis,673.357,4,2,1
atis,539.907,3,2,1
atis,717.525,4,2,1
atis,1077.016,4,4,1
atis,629.589,3,2,1
atis,908.538,4,2,1
atis,814.598,4,2,1
atis,665.268,2,2,1
atis,730.117,3,2,1
atis,636.239,4,2,1
atis,557.389,3,2,1
atis,689.776,3,2,1
atis,506.254,3,2,1
atis,883.304,4,2,1
atis,654.023,3,2,1
atis,661.124,3,2,1
atis,693.634,4,2,1
atis,909.186,4,2,1
atis,594.048,3,2,1
atis,599.738,5,2,1
atis,571.538,4,2,1
atis,785.336,4,2,1
atis,811.263,3,2,1
atis,384.483,3,2,1
atis,406.431,5,2,1
atis,954.881,3,2,1
atis,876.12,4,2,1
atis,319.361,3,2,1
atis,934.674,4,2,1
atis,795.856,2,2,1
atis,1542.17,5,2,1
atis,486.395,5,2,1
atis,516.045,4,2,1
atis,921.384,5,2,1
atis,545.796,5,2,1
atis,685.595,5,2,1
atis,688.149,3,2,1
atis,559.346,2,2,1
atis,512.702,5,2,1
atis,1095.001,4,2,1
atis,715.695,4,2,1
atis,789.675,6,2,1
atis,682.04,4,2,1
atis,664.463,3,2,1
atis,578.22,4,2,1
atis,1022.857,5,2,1
atis,585.913,5,2,1
atis,449.1,5,2,1
atis,665.583,4,2,1
atis,651.282,6,2,1
atis,722.371,5,2,1
atis,487.591,5,2,1
atis,476.748,4,2,1
atis,813.463,4,2,1
atis,720.803,4,2,1
atis,529.795,6,2,1
atis,563.465,5,2,1
atis,825.193,4,2,1
atis,644.498,3,2,1
atis,835.193,3,2,1
atis,594.185,4,2,1
atis,848.367,3,2,1
atis,742.738,4,2,1
atis,573.595,4,2,1
atis,545.186,5,2,1
atis,1106.6,4,2,1
atis,919.019,3,2,1
atis,882.401,3,2,1
atis,815.382,4,2,1
atis,1056.192,5,2,1
atis,516.192,3,2,1
atis,356.514,4,2,1
atis,678.568,4,2,1
atis,921.89,3,2,1
atis,963.037,3,2,1
atis,549.016,3,2,1
atis,668.696,5,2,1
atis,828.426,4,2,1
atis,908.175,3,2,1
atis,763.699,3,2,1
atis,526.443,4,2,1
atis,541.797,4,2,1
atis,578.735,5,2,1
atis,897.432,4,2,1
atis,850.85,3,2,1
atis,513.612,4,2,1
atis,402.385,4,2,1
atis,399.562,4,2,1
atis,457.188,5,2,1
atis,1017.44,4,2,1
atis,710.031,3,2,1
atis,766.696,3,2,1
atis,1636.764,6,4,1
atis,1085.392,5,2,1
atis,753.273,4,2,1
atis,838.506,6,2,1
atis,527.892,2,2,1
atis,908.009,4,2,1
atis,697.993,6,2,1
atis,1335.063,5,4,1
atis,768.455,2,2,1
atis,869.287,6,2,1
atis,627.55,4,2,1
atis,949.389,4,2,1
atis,827.89,5,2,1
atis,907.711,5,2,1
atis,1088.179,6,2,1
atis,504.73,4,2,1
atis,309.261,6,2,1
atis,574.13,6,2,1
atis,477.412,5,2,1
atis,659.56,4,2,1
atis,476.924,4,2,1
atis,714.093,4,2,1
atis,798.499,5,2,1
atis,420.393,7,2,1
atis,929.869,5,2,1
atis,822.442,6,2,1
atis,778.666,3,2,1
atis,585.734,4,2,1
atis,840.833,2,2,1
atis,783.017,3,2,1
atis,809.706,4,2,1
atis,827.554,4,2,1
atis,416.634,3,2,1
atis,1347.002,5,2,1
atis,584.992,5,2,1
atis,945.572,5,2,1
atis,886.007,6,4,1
atis,850.023,5,2,1
atis,530.978,4,2,1
atis,893.765,3,2,1
atis,541.83,5,2,1
atis,1665.684,6,4,1
atis,912.962,5,2,1
atis,600.884,4,2,1
atis,1471.864,6,4,1
atis,1028.833,2,2,1
atis,1163.919,5,4,1
atis,866.641,3,2,1
atis,660.235,4,2,1
atis,1068.357,5,2,1
atis,750.979,6,2,1
atis,676.713,6,2,1
atis,673.851,6,2,1
atis,767.953,3,2,1
atis,1863.038,5,4,1
atis,622.077,4,2,1
atis,287.843,6,2,1
atis,966.608,5,2,1
atis,941.855,4,2,1
atis,583.891,3,2,1
atis,630.518,5,2,1
atis,1490.309,6,4,1
atis,907.207,2,2,1
atis,660.03,5,2,1
atis,602.778,5,2,1
atis,717.116,5,2,1
atis,327.286,4,2,1
atis,964.954,5,2,1
atis,865.247,3,2,1
atis,1139.656,3,2,1
atis,1032.029,4,2,1
atis,591.535,4,2,1
atis,567.387,4,2,1
atis,918.139,4,2,1
atis,937.434,3,2,1
atis,1036.229,4,2,1
atis,801.312,3,2,1
atis,647.378,3,2,1
atis,708.141,5,2,1
atis,672.759,3,2,1
atis,534.597,2,2,1
atis,1161.83,3,2,1
atis,540.532,4,2,1
atis,848.412,4,2,1
atis,641.207,4,2,1
atis,971.688,3,2,1
atis,464.486,5,2,1
atis,985.475,4,2,1
