protocol,latency,hops,oob_interaction,correct
cpex,755.242,2,2,1
cpex,767.081,5,2,1
cpex,602.717,3,2,1
cpex,737.839,2,2,1
cpex,482.127,3,2,1
cpex,607.668,3,2,1
cpex,595.632,3,2,1
cpex,469.953,4,2,1
cpex,824.567,3,2,1
cpex,774.896,2,2,1
cpex,552.857,2,2,1
cpex,613.158,4,2,1
cpex,796.881,4,2,1
cpex,674.319,2,2,1
cpex,351.446,4,2,1
cpex,522.452,3,2,1
cpex,764.217,3,2,1
cpex,804.301,3,2,1
cpex,750.793,2,2,1
cpex,614.74,4,2,1
cpex,770.47,4,2,1
cpex,519.275,3,2,1
cpex,607.687,3,2,1
cpex,798.87,2,2,1
cpex,642.88,3,2,1
cpex,781.694,4,2,1
cpex,586.874,4,2,1
cpex,749.063,3,2,1
cpex,825.9,2,2,1
cpex,785.701,3,2,1
cpex,687.731,3,2,1
cpex,735.047,3,2,1
cpex,640.005,4,2,1
cpex,744.536,2,2,1
cpex,739.26,2,2,1
cpex,790.014,4,2,1
cpex,756.83,3,2,1
cpex,806.936,3,2,1
cpex,579.024,4,2,1
cpex,607.136,3,2,1
cpex,510.566,3,2,1
cpex,780.299,4,2,1
cpex,741.571,4,2,1
cpex,571.899,4,2,1
cpex,838.566,4,2,1
cpex,1351.116,5,4,1
cpex,594.884,4,2,1
cpex,761.932,3,2,1
cpex,814.24,3,2,1
cpex,763.236,3,2,1
cpex,761.71,3,2,1
cpex,756.191,5,2,1
cpex,745.074,3,2,1
cpex,717.254,3,2,1
cpex,779.441,3,2,1
cpex,602.264,4,2,1
cpex,959.658,4,4,1
cpex,1360.913,4,4,1
cpex,386.572,3,2,1
cpex,764.086,4,2,1
cpex,756.054,5,2,1
cpex,613.847,5,2,1
cpex,592.549,5,2,1
cpex,766.993,4,2,1
cpex,1401.532,4,4,1
cpex,613.888,3,2,1
cpex,499.335,5,2,1
cpex,757.668,3,2,1
cpex,846.46,3,2,1
cpex,582.091,4,2,1
cpex,290.169,4,2,1
cpex,1242.686,5,4,1
cpex,799.69,5,2,1
cpex,769.662,4,2,1
cpex,744.394,4,2,1
cpex,632.341,4,2,1
cpex,781.712,3,2,1
cpex,659.275,4,2,1
cpex,1250.41,4,4,1
cpex,662.657,3,2,1
cpex,839.83,4,2,1
cpex,624.698,4,2,1
cpex,774.618,2,2,1
cpex,745.857,3,2,1
cpex,793.634,4,2,1
cpex,795.377,3,2,1
cpex,535.864,3,2,1
cpex,692.987,3,2,1
cpex,791.779,4,2,1
cpex,792.581,3,2,1
cpex,422.425,3,2,1
cpex,746.763,4,2,1
cpex,842.766,4,2,1
cpex,811.173,3,2,1
cpex,613.37,5,2,1
cpex,551.573,4,2,1
cpex,795.089,4,2,1
cpex,465.99,3,2,1
cpex,541.999,3,2,1
cpex,734.976,5,2,1
cpex,722.105,3,2,1
cpex,586.319,4,2,1
cpex,750.52,3,2,1
cpex,747.009,4,2,1
cpex,806.689,2,2,1
cpex,603.602,5,2,1
cpex,459.643,5,2,1
cpex,779.42,4,2,1
cpex,604.778,5,2,1
cpex,647.398,5,2,1
cpex,598.779,5,2,1
cpex,583.697,3,2,1
cpex,729.27,2,2,1
cpex,613.838,5,2,1
cpex,766.256,4,2,1
cpex,785.978,4,2,1
cpex,589.567,6,2,1
cpex,670.679,4,2,1
cpex,772.059,3,2,1
cpex,565.763,4,2,1
cpex,621.192,5,2,1
cpex,779.003,5,2,1
cpex,631.245,5,2,1
cpex,732.204,4,2,1
cpex,786.078,6,2,1
cpex,671.394,5,2,1
cpex,808.804,5,2,1
cpex,647.297,4,2,1
cpex,718.143,4,2,1
cpex,635.416,4,2,1
cpex,463.711,6,2,1
cpex,623.393,5,2,1
cpex,813.588,4,2,1
cpex,668.144,3,2,1
cpex,713.785,3,2,1
cpex,680.604,4,2,1
cpex,674.868,3,2,1
cpex,585.554,4,2,1
cpex,831.798,4,2,1
cpex,620.951,5,2,1
cpex,604.245,4,2,1
cpex,460.375,3,2,1
cpex,349.685,3,2,1
cpex,525.981,4,2,1
cpex,703.123,5,2,1
cpex,803.581,3,2,1
cpex,684.546,4,2,1
cpex,791.077,4,2,1
cpex,694.092,3,2,1
cpex,300.482,3,2,1
cpex,601.358,3,2,1
cpex,771.796,5,2,1
cpex,828.165,4,2,1
cpex,652.566,3,2,1
cpex,759.454,3,2,1
cpex,538.056,4,2,1
cpex,760.512,4,2,1
cpex,772.563,5,2,1
cpex,721.315,4,2,1
cpex,659.501,3,2,1
cpex,915.192,4,2,1
cpex,394.754,4,2,1
cpex,739.357,4,2,1
cpex,611.02,5,2,1
cpex,800.124,4,2,1
cpex,640.785,3,2,1
cpex,751.23,3,2,1
cpex,1535.867,6,4,1
cpex,808.252,5,2,1
cpex,688.738,4,2,1
cpex,565.257,6,2,1
cpex,642.469,2,2,1
cpex,927.537,4,2,1
cpex,743.654,6,2,1
cpex,1291.417,5,4,1
cpex,763.999,2,2,1
cpex,908.072,6,2,1
cpex,668.161,4,2,1
cpex,745.87,4,2,1
cpex,433.411,5,2,1
cpex,595.45,5,2,1
cpex,659.571,6,2,1
cpex,524.231,4,2,1
cpex,605.881,6,2,1
cpex,904.666,6,2,1
cpex,597.08,5,2,1
cpex,591.923,4,2,1
cpex,823.158,4,2,1
cpex,703.312,4,2,1
cpex,617.863,5,2,1
cpex,617.467,7,2,1
cpex,748.234,5,2,1
cpex,889.523,6,2,1
cpex,600.891,3,2,1
cpex,819.568,4,2,1
cpex,642.455,2,2,1
cpex,706.149,3,2,1
cpex,767.952,4,2,1
cpex,683.029,4,2,1
cpex,772.096,3,2,1
cpex,783.763,5,2,1
cpex,622.959,5,2,1
cpex,597.224,5,2,1
cpex,1492.142,6,4,1
cpex,789.932,5,2,1
cpex,797.025,4,2,1
cpex,576.951,3,2,1
cpex,597.135,5,2,1
cpex,1402.002,6,4,1
cpex,727.031,5,2,1
cpex,508.473,4,2,1
cpex,1539.69,6,4,1
cpex,667.325,2,2,1
cpex,1227.332,5,4,1
cpex,659.3,3,2,1
cpex,628.132,4,2,1
cpex,781.243,5,2,1
cpex,796.097,6,2,1
cpex,625.517,6,2,1
cpex,630.82,6,2,1
cpex,685.803,3,2,1
cpex,1500.764,5,4,1
cpex,777.312,4,2,1
cpex,561.867,6,2,1
cpex,928.258,5,2,1
cpex,620.551,4,2,1
cpex,684.107,3,2,1
cpex,672.298,5,2,1
cpex,1075.394,6,4,1
cpex,611.984,2,2,1
cpex,543.68,5,2,1
cpex,596.498,5,2,1
cpex,717.23,5,2,1
cpex,797.622,4,2,1
cpex,757.194,5,2,1
cpex,764.421,3,2,1
cpex,743.561,3,2,1
cpex,443.852,4,2,1
cpex,580.514,4,2,1
cpex,630.699,4,2,1
cpex,824.856,4,2,1
cpex,797.358,3,2,1
cpex,750.096,4,2,1
cpex,781.21,3,2,1
cpex,781.117,3,2,1
cpex,739.629,5,2,1
cpex,698.425,3,2,1
cpex,637.581,2,2,1
cpex,724.601,3,2,1
cpex,527.46,4,2,1
cpex,663.809,4,2,1
cpex,765.199,4,2,1
cpex,686.121,3,2,1
cpex,648.924,5,2,1
cpex,609.161,4,2,1
cpex,770.78,4,2,1
cpex,616.396,3,2,1
cpex,780.93,3,2,1
cpex,599.444,3,2,1
cpex,758.603,5,2,1
cpex,765.751,4,2,1
cpex,775.005,3,2,1
cpex,667.075,4,2,1
