protocol,latency,hops,oob_interaction,correct
atis,454.306,3,2,1
atis,193.13,2,2,1
atis,417.997,3,2,1
atis,480.195,4,2,1
atis,408.603,2,2,1
atis,360.063,2,2,1
atis,302.075,3,2,1
atis,498.366,3,2,1
atis,507.158,4,2,1
atis,381.409,4,2,1
atis,449.87,3,2,1
atis,367.37,4,2,1
atis,701.091,4,2,1
atis,166.124,3,2,1
atis,196.785,2,2,1
atis,388.591,4,2,1
atis,502.068,3,2,1
atis,328.937,3,2,1
atis,430.311,2,2,1
atis,305.01,3,2,1
atis,353.746,2,2,1
atis,270.558,4,2,1
atis,370.926,3,2,1
atis,435.382,4,2,1
atis,500.465,5,2,1
atis,330.064,4,2,1
atis,401.542,5,2,1
atis,417.235,5,2,1
atis,459.756,5,2,1
atis,237.546,3,2,1
atis,246.762,4,2,1
atis,301.358,3,2,1
atis,572.813,3,2,1
atis,350.827,3,2,1
atis,521.088,4,2,1
atis,269.832,3,2,1
atis,455.448,3,2,1
atis,325.002,2,2,1
atis,424.237,5,2,1
atis,320.952,2,2,1
atis,243.482,3,2,1
atis,360.902,2,2,1
atis,273.294,5,2,1
atis,541.951,4,2,1
atis,554.399,3,2,1
atis,320.433,2,2,1
atis,190.524,3,2,1
atis,450.814,3,2,1
atis,285.16,2,2,1
atis,459.25,3,2,1
atis,149.72,4,2,1
atis,404.153,3,2,1
atis,486.134,4,2,1
atis,230.211,4,2,1
atis,210.424,4,2,1
atis,538.478,2,2,1
atis,694.115,3,2,1
atis,359.745,4,2,1
atis,486.282,5,2,1
atis,330.28,3,2,1
atis,312.715,3,2,1
atis,351.953,3,2,1
atis,443.539,4,2,1
atis,395.606,3,2,1
atis,342.223,3,2,1
atis,525.625,4,2,1
atis,344.536,3,2,1
atis,273.76,3,2,1
atis,424.614,2,2,1
atis,327.571,6,2,1
atis,340.94,3,2,1
atis,519.431,4,2,1
atis,273.931,3,2,1
atis,238.937,4,2,1
atis,254.803,4,2,1
atis,549.577,4,2,1
atis,456.918,2,2,1
atis,401.487,4,2,1
atis,402.95,2,2,1
atis,296.693,4,2,1
atis,366.636,3,2,1
atis,378.706,3,2,1
atis,507.667,3,2,1
atis,336.151,4,2,1
atis,526.123,2,2,1
atis,373.665,5,2,1
atis,733.083,2,2,1
atis,345.947,6,2,1
atis,549.655,6,2,1
atis,486.678,2,2,1
atis,320.204,4,2,1
atis,362.34,3,2,1
atis,472.787,3,2,1
atis,583.366,5,2,1
atis,475.09,4,2,1
atis,398.009,5,2,1
atis,380.376,3,2,1
atis,341.439,3,2,1
atis,441.108,3,2,1
atis,433.023,4,2,1
atis,329.406,6,2,1
atis,399.691,4,2,1
atis,209.14,5,2,1
atis,365.414,4,2,1
atis,450.208,2,2,1
atis,419.79,4,2,1
atis,619.733,3,2,1
atis,302.733,4,2,1
atis,446.351,3,2,1
atis,294.438,4,2,1
atis,336.471,3,2,1
atis,530.757,4,2,1
atis,495.003,4,2,1
atis,381.293,6,2,1
atis,752.98,4,2,1
atis,384.5,3,2,1
atis,435.445,4,2,1
atis,272.919,3,2,1
atis,793.021,3,2,1
atis,451.617,6,2,1
atis,679.011,4,2,1
atis,577.004,4,2,1
atis,198.705,4,2,1
