protocol,latency,hops,oob_interaction,correct
cpex,1343.773,2,2,1
cpex,894.925,5,2,1
cpex,462.211,3,2,1
cpex,748.006,2,2,1
cpex,818.238,3,2,1
cpex,959.169,3,2,1
cpex,571.779,3,2,1
cpex,625.044,4,2,1
cpex,748.61,3,2,1
cpex,901.425,2,2,1
cpex,768.275,2,2,1
cpex,523.344,4,2,1
cpex,1354.836,4,2,1
cpex,621.948,2,2,1
cpex,616.864,4,2,1
cpex,687.051,3,2,1
cpex,1273.537,3,2,1
cpex,481.85,3,2,1
cpex,574.282,2,2,1
cpex,582.062,4,2,1
cpex,925.56,4,2,1
cpex,802.006,3,2,1
cpex,561.021,3,2,1
cpex,561.077,2,2,1
cpex,766.131,3,2,1
cpex,866.199,4,2,1
cpex,807.424,4,2,1
cpex,594.027,3,2,1
cpex,692.809,2,2,1
cpex,550.369,3,2,1
cpex,732.608,3,2,1
cpex,644.294,3,2,1
cpex,1257.32,4,2,1
cpex,660.887,2,2,1
cpex,695.902,2,2,1
cpex,463.6,4,2,1
cpex,786.568,3,2,1
cpex,775.805,3,2,1
cpex,638.886,4,2,1
cpex,592.152,3,2,1
cpex,1354.189,3,2,1
cpex,819.425,4,2,1
cpex,638.394,4,2,1
cpex,630.763,4,2,1
cpex,826.099,4,2,1
cpex,1076.785,5,4,1
cpex,603.49,4,2,1
cpex,649.663,3,2,1
cpex,1441.545,3,2,1
cpex,613.775,3,2,1
cpex,472.534,3,2,1
cpex,633.365,5,2,1
cpex,1263.154,3,2,1
cpex,739.61,3,2,1
cpex,647.182,3,2,1
cpex,669.075,4,2,1
cpex,1196.14,4,4,1
cpex,1625.94,4,4,1
cpex,585.151,3,2,1
cpex,610.237,4,2,1
cpex,1276.303,5,2,1
cpex,558.326,5,2,1
cpex,538.081,5,2,1
cpex,590.95,4,2,1
cpex,1251.135,4,4,1
cpex,628.861,3,2,1
cpex,612.276,5,2,1
cpex,606.174,3,2,1
cpex,953.41,3,2,1
cpex,807.703,4,2,1
cpex,566.331,4,2,1
cpex,1208.293,5,4,1
cpex,857.323,5,2,1
cpex,692.469,4,2,1
cpex,538.347,4,2,1
cpex,575.01,4,2,1
cpex,887.952,3,2,1
cpex,1054.959,4,2,1
cpex,1207.115,4,4,1
cpex,839.374,3,2,1
cpex,1329.028,4,2,1
cpex,800.289,4,2,1
cpex,665.037,2,2,1
cpex,511.964,3,2,1
cpex,1315.503,4,2,1
cpex,614.348,3,2,1
cpex,713.385,3,2,1
cpex,717.949,3,2,1
cpex,545.184,4,2,1
cpex,1027.335,3,2,1
cpex,549.567,3,2,1
cpex,638.992,4,2,1
cpex,1290.993,4,2,1
cpex,659.288,3,2,1
cpex,701.422,5,2,1
cpex,598.806,4,2,1
cpex,887.219,4,2,1
cpex,556.959,3,2,1
cpex,820.123,3,2,1
cpex,661.274,5,2,1
cpex,935.687,3,2,1
cpex,642.773,4,2,1
cpex,644.867,3,2,1
cpex,621.432,4,2,1
cpex,821.825,2,2,1
cpex,821.532,5,2,1
cpex,667.938,5,2,1
cpex,615.181,4,2,1
cpex,1333.076,5,2,1
cpex,621.517,5,2,1
cpex,514.325,5,2,1
cpex,644.772,3,2,1
cpex,787.842,2,2,1
cpex,620.592,5,2,1
cpex,884.169,4,2,1
cpex,511.904,4,2,1
cpex,867.118,6,2,1
cpex,514.287,4,2,1
cpex,940.223,3,2,1
cpex,630.665,4,2,1
cpex,1456.648,5,2,1
cpex,647.742,5,2,1
cpex,639.317,5,2,1
cpex,620.669,4,2,1
cpex,776.822,6,2,1
cpex,802.676,5,2,1
cpex,771.853,5,2,1
cpex,587.393,4,2,1
cpex,1248.078,4,2,1
cpex,914.198,4,2,1
cpex,574.22,6,2,1
cpex,654.783,5,2,1
cpex,1434.149,4,2,1
cpex,587.004,3,2,1
cpex,656.051,3,2,1
cpex,638.329,4,2,1
cpex,1353.791,3,2,1
cpex,592.943,4,2,1
cpex,735.844,4,2,1
cpex,654.849,5,2,1
cpex,1360.708,4,2,1
cpex,655.14,3,2,1
cpex,422.591,3,2,1
cpex,615.692,4,2,1
cpex,1361.643,5,2,1
cpex,638.994,3,2,1
cpex,624.111,4,2,1
cpex,529.032,4,2,1
cpex,1447.63,3,2,1
