Protocol,VUs,Min,Max,Median,Avg,P(90),P(95),Success-Rate
ATIS,20,13.573,1517.192,151.273,170.042,323.235,390.885,100.0
CPeX,20,16.833,606.132,44.117,58.137,92.288,97.916,100.0
ATIS,40,13.309,2140.106,162.123,198.053,398.425,513.012,100.0
CPeX,40,16.652,980.799,50.296,61.655,98.04,106.901,100.0
ATIS,60,13.288,4246.556,180.73,247.146,528.896,705.925,100.0
CPeX,60,16.591,650.306,65.71,71.258,118.162,143.082,100.0
ATIS,100,13.32,3714.429,202.869,320.088,757.744,1000.339,100.0
CPeX,100,16.685,1172.398,84.61,105.228,235.182,325.104,100.0
ATIS,150,13.482,2877.423,226.938,451.677,1229.929,1537.849,100.0
CPeX,150,16.739,2220.186,88.272,149.833,409.121,579.436,100.0
ATIS,200,13.564,4155.326,268.268,524.953,1407.742,1742.157,100.0
CPeX,200,14.355,3005.163,91.835,196.655,612.776,827.726,100.0
ATIS,250,13.506,4382.856,274.826,653.34,1876.404,2271.705,100.0
CPeX,250,15.178,5698.16,94.193,243.697,789.533,1111.655,100.0
ATIS,300,13.262,5404.443,248.799,823.571,2646.746,3043.66,100.0
CPeX,300,16.73,8696.698,102.255,290.949,928.302,1272.896,100.0
ATIS,350,13.467,6173.953,288.144,914.413,2781.175,3244.23,100.0
CPeX,350,6.769,15441.44,103.417,320.114,1032.621,1449.599,100.0
ATIS,400,13.327,6110.251,231.644,1166.645,4138.838,4574.49,100.0
CPeX,400,0.297,16973.633,108.599,367.791,1227.098,1681.241,100.0
ATIS,450,13.505,7252.831,348.126,1136.919,3403.007,3879.674,100.0
CPeX,450,0.609,24565.979,105.146,402.495,1339.855,1728.378,100.0
ATIS,500,13.367,7976.009,221.149,1508.023,5712.84,6243.351,100.0
CPeX,500,0.217,34004.473,103.293,461.829,1402.605,1866.94,100.0
ATIS,550,13.227,7357.268,310.343,1422.517,4274.502,4647.172,100.0
CPeX,550,2.047,41868.838,106.954,520.018,1403.157,2041.789,99.791
ATIS,600,13.477,10066.975,248.465,1770.289,5918.345,7555.809,100.0
CPeX,600,1.667,45262.188,108.323,546.689,1374.452,2056.941,99.986
ATIS,650,13.295,8055.845,390.904,1669.501,4965.237,5478.331,100.0
CPeX,650,5.004,50623.091,108.08,573.521,1461.352,1903.279,99.959
ATIS,700,13.291,12532.923,245.465,2149.772,7458.973,9797.837,100.0
CPeX,700,11.781,48892.872,106.219,628.17,1486.538,1984.672,99.959
ATIS,750,13.406,9188.643,566.958,1918.803,5611.47,6174.852,100.0
CPeX,750,3.708,49879.616,99.229,633.445,1241.989,1838.17,99.929
ATIS,800,13.006,13998.281,321.155,2307.139,6450.395,9133.858,100.0
CPeX,800,3.131,50674.396,107.795,685.929,1417.589,1923.553,99.96
ATIS,850,13.243,12056.69,540.636,2259.846,6773.795,7443.901,100.0
CPeX,850,8.308,50460.535,100.273,753.935,1381.333,1813.334,99.947
ATIS,900,13.423,17882.105,330.74,2627.254,7749.738,10614.88,96.194
CPeX,900,4.639,51251.104,104.721,814.888,1403.551,1796.886,99.934
ATIS,950,13.505,12857.663,617.08,2485.206,6804.132,7420.324,100.0
CPeX,950,4.284,49867.713,107.897,882.51,1351.088,1938.082,99.921
ATIS,1000,12.972,11663.13,527.879,2663.486,7697.88,8352.409,100.0
CPeX,1000,2.567,51424.221,106.778,935.395,1331.334,1812.306,99.91
