Protocol,VUs,Calls-Sent,Calls-Processed,Success-Rate
ATIS,100,5000,5000,100.0
CPeX,100,7803,7803,100.0
ATIS,200,5707,5528,96.864
CPeX,200,8630,8630,100.0
ATIS,300,5936,4810,81.031
CPeX,300,9010,9010,100.0
ATIS,400,6331,1940,30.643
CPeX,400,9121,9121,100.0
ATIS,500,6581,359,5.455
CPeX,500,9328,9328,100.0
ATIS,700,7040,5,0.071
CPeX,700,9955,9929,99.739
ATIS,900,9000,0,0
CPeX,900,10017,9962,99.451
ATIS,1000,10002,0,0
CPeX,1000,9718,9652,99.321
ATIS,1500,15009,0,0
CPeX,1500,10988,7143,65.007
ATIS,2000,20015,0,0
CPeX,2000,12324,7198,58.406
ATIS,2500,25054,0,0
CPeX,2500,13674,4793,35.052
ATIS,3000,30060,0,0
CPeX,3000,15840,3191,20.145
ATIS,3500,35060,0,0
CPeX,3500,17542,1730,9.862
ATIS,4000,40094,0,0
CPeX,4000,20047,1698,8.47
ATIS,4500,45114,0,0
CPeX,4500,22501,959,4.262
ATIS,5000,50120,0,0
CPeX,5000,25011,149,0.596
ATIS,5500,55146,0,0
CPeX,5500,27520,672,2.442
ATIS,6000,60157,0,0
CPeX,6000,30020,1067,3.554
