Num Evals, Num Stores, PUB:P, PUB:EV, PUB:MS, RET:P, RET:MS, Latency
1, 1, 10.172, 3.25, 3.349, 13.172, 3.265, 29.843
1, 2, 9.64, 3.152, 4.378, 13.071, 3.221, 29.014
1, 3, 10.56, 3.062, 3.466, 14.551, 3.181, 31.235
1, 4, 12.485, 3.219, 3.358, 16.258, 3.658, 35.181
1, 5, 16.331, 3.346, 3.295, 19.183, 3.29, 42.207
1, 6, 17.968, 3.18, 3.419, 21.223, 3.529, 45.551
1, 7, 20.419, 3.38, 3.436, 22.524, 3.332, 49.702
1, 8, 23.429, 3.143, 3.668, 27.519, 3.541, 57.233
1, 9, 47.988, 3.152, 3.956, 32.825, 3.437, 87.117
1, 10, 27.474, 3.715, 3.446, 30.422, 3.443, 65.327
2, 1, 8.747, 3.258, 3.877, 12.371, 3.463, 27.635
2, 2, 10.717, 3.323, 3.523, 14.006, 3.363, 31.368
2, 3, 13.737, 3.373, 3.27, 16.567, 3.191, 37.05
2, 4, 15.923, 3.309, 3.624, 18.259, 3.278, 40.798
2, 5, 18.413, 3.446, 3.466, 21.326, 3.494, 46.631
2, 6, 20.514, 3.5, 3.354, 22.936, 3.256, 50.451
2, 7, 22.166, 3.2, 3.379, 25.267, 3.552, 53.833
2, 8, 26.826, 3.491, 3.604, 28.493, 3.415, 62.301
2, 9, 31.864, 3.52, 3.549, 30.605, 3.448, 69.509
2, 10, 32.25, 3.3, 3.482, 33.521, 3.325, 72.371
3, 1, 11.475, 3.143, 3.456, 14.391, 3.438, 32.152
3, 2, 19.669, 3.179, 4.922, 23.317, 4.29, 49.344
3, 3, 16.998, 3.202, 3.222, 19.678, 3.222, 43.079
3, 4, 17.883, 3.104, 3.193, 20.604, 3.81, 44.695
3, 5, 19.615, 3.142, 3.204, 22.629, 3.191, 48.528
3, 6, 21.867, 3.142, 3.335, 25.04, 3.631, 53.192
3, 7, 25.639, 3.241, 3.429, 28.874, 3.366, 60.994
3, 8, 27.084, 3.158, 3.379, 29.987, 3.304, 63.387
3, 9, 29.64, 3.316, 3.529, 36.076, 4.209, 72.348
3, 10, 30.087, 3.05, 3.143, 33.828, 3.66, 70.016
4, 1, 14.597, 3.552, 3.603, 17.839, 3.908, 39.539
4, 2, 15.856, 3.388, 3.119, 19.24, 3.1, 41.872
4, 3, 17.292, 3.108, 3.214, 20.201, 3.123, 43.709
4, 4, 19.522, 3.098, 3.263, 22.36, 3.181, 48.079
4, 5, 21.631, 3.087, 3.154, 24.346, 3.138, 52.151
4, 6, 25.43, 3.091, 3.369, 28.124, 3.284, 59.736
4, 7, 27.235, 3.239, 3.357, 30.405, 3.61, 64.119
4, 8, 32.4, 3.551, 3.42, 33.165, 3.311, 72.668
4, 9, 32.732, 3.339, 3.499, 33.83, 3.164, 73.241
4, 10, 32.901, 3.122, 3.254, 41.272, 4.412, 80.417
5, 1, 16.327, 3.08, 3.294, 19.293, 3.466, 41.78
5, 2, 21.859, 8.07, 3.22, 24.772, 3.518, 62.771
5, 3, 24.584, 3.227, 3.998, 26.976, 3.287, 58.014
5, 4, 32.869, 3.21, 3.627, 27.792, 3.41, 67.08
5, 5, 26.825, 3.466, 3.562, 29.708, 3.576, 63.466
5, 6, 28.961, 3.44, 4.467, 42.808, 6.763, 78.648
5, 7, 58.676, 5.85, 4.513, 47.381, 3.14, 117.758
5, 8, 30.324, 3.063, 4.866, 33.201, 3.515, 69.652
5, 9, 32.446, 3.052, 3.131, 35.95, 3.22, 74.5
5, 10, 34.997, 3.042, 3.147, 38.124, 3.331, 79.206
6, 1, 19.289, 3.248, 4.214, 22.745, 3.211, 48.529
6, 2, 20.606, 3.342, 3.306, 24.056, 3.236, 51.345
6, 3, 23.159, 3.28, 3.352, 26.272, 3.628, 55.99
6, 4, 25.558, 3.47, 3.442, 28.519, 3.422, 61.018
6, 5, 28.604, 3.317, 3.87, 32.522, 3.345, 67.761
