mode, Num_Provs, Num_EVs, Num_MSs, n_ev, n_ms, lat_min, lat_max, lat_mean, lat_std, success_rate, calls_per_sec
cpex, 10, 10, 10, 1, 1, 38.0, 144.9, 74.53, 28.51, 100.0, 106
cpex, 10, 10, 10, 1, 2, 49.8, 205.8, 96.4, 36.03, 100.0, 98
cpex, 10, 10, 10, 1, 3, 64.2, 257.8, 123.64, 43.56, 100.0, 86
cpex, 10, 10, 10, 1, 4, 78.8, 309.9, 152.61, 55.62, 100.0, 80
cpex, 10, 10, 10, 1, 5, 99.2, 332.3, 171.22, 58.46, 100.0, 72
cpex, 10, 10, 10, 1, 6, 91.4, 383.7, 199.88, 71.77, 100.0, 68
cpex, 10, 10, 10, 1, 7, 134.7, 414.6, 223.6, 74.38, 100.0, 62
cpex, 10, 10, 10, 1, 8, 151.3, 461.2, 256.2, 82.57, 100.0, 56
cpex, 10, 10, 10, 1, 9, 167.0, 536.5, 278.61, 96.16, 100.0, 54
cpex, 10, 10, 10, 1, 10, 184.8, 587.9, 313.26, 105.61, 100.0, 49
cpex, 10, 10, 10, 2, 1, 41.8, 199.6, 95.97, 34.14, 100.0, 98
cpex, 10, 10, 10, 2, 2, 72.7, 248.2, 125.89, 45.67, 100.0, 84
cpex, 10, 10, 10, 2, 3, 82.1, 282.8, 146.35, 56.51, 100.0, 77
cpex, 10, 10, 10, 2, 4, 95.6, 334.1, 180.56, 63.37, 100.0, 68
cpex, 10, 10, 10, 2, 5, 116.2, 388.5, 202.83, 69.05, 100.0, 65
cpex, 10, 10, 10, 2, 6, 129.1, 409.4, 231.87, 71.86, 100.0, 61
cpex, 10, 10, 10, 2, 7, 138.6, 504.2, 251.97, 89.89, 100.0, 56
cpex, 10, 10, 10, 2, 8, 173.8, 518.9, 276.36, 90.93, 100.0, 53
cpex, 10, 10, 10, 2, 9, 193.1, 562.1, 303.61, 105.96, 100.0, 49
cpex, 10, 10, 10, 2, 10, 217.1, 658.3, 328.98, 117.73, 100.0, 47
cpex, 10, 10, 10, 3, 1, 67.8, 245.3, 131.06, 44.79, 100.0, 84
cpex, 10, 10, 10, 3, 2, 75.4, 286.1, 158.85, 52.74, 100.0, 77
cpex, 10, 10, 10, 3, 3, 94.9, 302.5, 177.62, 54.33, 100.0, 69
cpex, 10, 10, 10, 3, 4, 127.6, 377.3, 205.54, 66.69, 100.0, 62
cpex, 10, 10, 10, 3, 5, 124.3, 441.0, 230.28, 78.41, 100.0, 59
cpex, 10, 10, 10, 3, 6, 154.4, 512.6, 256.04, 87.69, 100.0, 58
cpex, 10, 10, 10, 3, 7, 171.1, 556.2, 284.41, 98.91, 100.0, 53
cpex, 10, 10, 10, 3, 8, 198.4, 566.5, 308.01, 103.12, 100.0, 49
cpex, 10, 10, 10, 3, 9, 211.8, 647.1, 333.03, 123.3, 100.0, 48
cpex, 10, 10, 10, 3, 10, 229.7, 661.7, 363.85, 120.98, 100.0, 44
cpex, 10, 10, 10, 4, 1, 75.2, 318.3, 155.28, 57.96, 100.0, 77
cpex, 10, 10, 10, 4, 2, 92.9, 331.8, 181.94, 58.69, 100.0, 68
