mode,Num_Provs,Num_EVs,Num_MSs,n_ev,n_ms,lat_min,lat_med,lat_max,lat_mean,lat_std,success_rate,calls_per_sec
jodi,1000,20,20,2,2,30.333,73.382,195.525,74.907,25.436,100.0,476
jodi,1000,20,20,2,3,30.814,72.578,139.811,73.496,22.257,100.0,419
jodi,1000,20,20,2,4,31.61,73.426,176.951,74.127,20.393,100.0,364
jodi,1000,20,20,2,5,32.757,72.436,168.894,72.876,19.533,100.0,328
jodi,1000,20,20,2,6,30.729,71.547,195.395,72.197,20.094,100.0,297
jodi,1000,20,20,2,7,30.767,71.982,157.792,72.975,20.229,100.0,269
jodi,1000,20,20,2,8,31.087,72.838,140.038,73.664,17.065,100.0,247
jodi,1000,20,20,2,9,33.756,72.604,148.007,73.065,16.207,100.0,232
jodi,1000,20,20,2,10,31.228,72.586,130.501,73.143,15.595,100.0,214
jodi,1000,20,20,3,2,32.016,72.944,207.143,73.722,23.46,100.0,424
jodi,1000,20,20,3,3,30.275,72.158,135.511,73.365,21.662,100.0,362
jodi,1000,20,20,3,4,29.566,71.57,154.48,72.243,20.837,100.0,322
jodi,1000,20,20,3,5,30.044,72.424,146.587,72.671,19.535,100.0,294
jodi,1000,20,20,3,6,32.781,71.574,198.251,72.422,20.059,100.0,273
jodi,1000,20,20,3,7,30.976,70.97,199.412,72.164,23.205,100.0,248
jodi,1000,20,20,3,8,31.684,72.366,138.39,73.165,18.203,100.0,227
jodi,1000,20,20,3,9,30.859,71.606,186.67,72.556,20.198,100.0,211
jodi,1000,20,20,3,10,31.994,71.66,150.281,73.127,17.553,100.0,197
jodi,1000,20,20,4,2,30.945,73.643,195.493,74.633,24.988,100.0,361
jodi,1000,20,20,4,3,31.129,73.164,178.134,74.601,20.405,100.0,326
jodi,1000,20,20,4,4,31.078,72.196,198.043,73.194,22.053,100.0,297
jodi,1000,20,20,4,5,31.933,72.978,168.99,73.936,18.682,100.0,271
jodi,1000,20,20,4,6,30.186,72.25,169.553,73.575,20.864,100.0,243
jodi,1000,20,20,4,7,30.925,72.316,139.123,72.392,19.784,100.0,229
