n,m,PUB:P,PUB:EV,PUB:MS,RET:P,RET:EV,RET:MS,Total
3,3,19.5,8.133,7.689,23.675,7.952,8.559,75.56292266478218
3,3,18.629,8.607,6.725,14.937,5.02,4.939,58.859445668834574
3,3,12.16,5.089,5.668,16.87,5.069,5.201,50.04779966232793
3,3,11.152,5.233,4.922,15.192,5.052,4.937,46.496159332794676
3,3,11.249,5.032,4.934,15.352,5.025,4.951,46.54962266431539
3,3,11.415,5.031,4.904,15.382,5.06,5.123,46.91015233280875
3,3,11.691,5.07,4.911,15.683,5.088,4.933,47.382021001491616
3,3,11.61,5.072,4.928,16.057,5.057,4.956,47.686200995182546
3,3,12.679,4.799,4.689,13.897,4.509,4.606,45.18981033106684
3,3,10.22,4.612,4.962,15.136,5.045,5.037,45.01614099838965
3,3,11.636,5.039,5.002,16.111,5.107,5.055,47.961825667395416
3,3,11.566,5.174,5.101,18.114,6.601,5.021,51.58447699674677
3,3,11.221,5.043,5.013,15.409,5.053,5.074,46.81837733490586
3,3,11.552,5.053,4.921,15.571,5.037,4.937,47.075764003238874
3,3,11.519,5.108,5.057,15.578,5.016,5.071,47.37239700261853
3,3,11.811,5.03,4.995,15.945,5.085,4.938,47.80088699893288
3,3,13.598,5.155,5.001,14.843,4.997,4.937,48.55963166604245
3,3,11.114,4.99,5.156,15.085,5.002,5.041,46.38219633488916
3,3,11.144,5.023,4.975,15.247,5.068,4.989,46.45003666397922
3,3,11.338,5.056,5.072,15.432,5.002,4.991,46.88839332690502
3,3,11.364,5.007,4.975,15.548,5.029,5.0,46.92404267067711
3,3,11.424,5.094,4.946,15.535,5.034,4.96,47.00373800248296
3,3,11.612,5.088,4.981,15.699,5.094,5.02,47.502467995703526
3,3,11.754,5.08,5.074,15.887,5.091,4.992,47.88097933487734
3,3,12.71,4.734,4.639,13.73,4.481,4.55,44.87797066152173
3,3,10.013,4.585,6.266,14.906,5.013,4.974,45.76306065913134
3,3,11.093,4.996,5.014,16.085,5.102,4.98,47.26542699669759
3,3,15.803,5.065,7.234,16.657,5.109,5.03,54.900679333513835
3,3,11.427,5.113,4.999,15.554,5.077,4.979,47.15311233788573
3,3,11.645,5.059,4.969,15.708,5.071,4.996,47.45894966132862
3,3,11.656,5.072,5.018,15.779,5.091,4.992,47.61592733363311
3,3,11.759,5.1,5.276,16.062,5.135,4.991,48.33045500102647
3,3,12.628,4.756,4.66,13.744,4.519,4.577,44.91750933569468
3,3,10.134,4.598,4.905,15.328,5.015,6.094,46.07301732903579
3,3,11.218,4.985,4.969,15.222,5.075,5.008,46.471295992281135
3,3,11.437,5.029,4.938,15.317,5.046,4.988,46.75813633366488
3,3,11.252,5.033,4.917,15.309,5.015,5.03,46.56302501098253
3,3,11.426,5.07,4.923,15.449,5.051,4.978,46.9104509963169
3,3,11.487,5.063,4.95,15.602,5.051,5.002,47.15809732927785
3,3,11.599,5.105,4.931,15.692,5.089,4.978,47.3969270036226
3,3,21.024,8.656,8.471,25.005,8.61,8.479,80.2956309974737
3,3,11.134,4.979,4.95,15.118,4.992,4.988,46.174520996525345
3,3,11.095,5.019,4.988,16.427,5.124,5.223,47.88230033348858
3,3,13.904,5.069,4.936,15.434,5.034,5.056,49.42891333485022
3,3,11.364,5.047,4.907,15.402,5.024,4.961,46.714186997026744
3,3,11.433,5.056,4.946,15.419,5.041,4.979,46.88145300193961
3,3,11.589,5.075,4.935,15.712,5.117,5.258,47.665559337474406
3,3,11.607,5.102,4.938,15.853,5.144,5.26,47.92312299953967
