protocol,latency,hops,oob_interaction,correct
jodi,521.781,2,2,1
jodi,443.447,5,2,1
jodi,527.504,2,2,1
jodi,687.433,4,2,1
jodi,510.169,3,2,1
jodi,603.536,5,2,1
jodi,412.109,2,2,1
jodi,670.538,3,2,1
jodi,416.984,3,2,1
jodi,412.411,4,2,1
jodi,301.086,6,2,1
jodi,923.023,6,2,1
jodi,390.168,6,2,1
jodi,654.059,3,2,1
jodi,469.191,3,2,1
jodi,347.695,7,2,1
jodi,449.513,6,2,1
jodi,969.834,3,2,1
jodi,595.825,3,2,1
jodi,447.138,4,2,1
jodi,441.3,3,2,1
jodi,757.403,3,2,1
jodi,379.445,3,2,1
jodi,533.192,3,2,1
jodi,569.781,3,2,1
jodi,495.144,6,2,1
jodi,434.935,3,2,1
jodi,464.721,3,2,1
jodi,481.423,3,2,1
jodi,785.574,7,2,1
jodi,549.886,3,2,1
jodi,490.692,3,2,1
jodi,430.706,3,2,1
jodi,466.536,2,2,1
jodi,622.328,5,2,1
jodi,813.031,3,2,1
jodi,545.795,3,2,1
jodi,452.086,3,2,1
jodi,791.937,4,2,1
jodi,289.653,5,2,1
jodi,544.972,4,2,1
jodi,714.492,3,2,1
jodi,615.336,5,2,1
jodi,543.908,5,2,1
jodi,537.727,3,2,1
jodi,536.717,3,2,1
jodi,448.507,4,2,1
jodi,300.058,3,2,1
jodi,591.338,2,2,1
jodi,437.826,4,2,1
jodi,816.834,4,2,1
jodi,724.152,3,2,1
jodi,579.201,4,2,1
jodi,685.527,5,2,1
jodi,804.561,3,2,1
jodi,468.654,3,2,1
jodi,434.382,4,2,1
jodi,487.742,4,2,1
jodi,325.966,6,2,1
jodi,883.627,3,2,1
jodi,585.661,3,2,1
jodi,625.127,7,2,1
jodi,550.342,2,2,1
jodi,367.681,3,2,1
jodi,864.06,3,2,1
jodi,546.783,2,2,1
jodi,467.237,3,2,1
jodi,666.159,4,2,1
jodi,577.677,4,2,1
jodi,782.424,6,2,1
jodi,696.514,4,2,1
jodi,316.643,4,2,1
jodi,441.401,5,2,1
jodi,461.636,3,2,1
jodi,853.328,3,2,1
jodi,411.395,3,2,1
jodi,712.913,5,2,1
jodi,498.637,4,2,1
jodi,440.174,3,2,1
jodi,1054.538,3,2,1
jodi,453.791,3,2,1
jodi,507.736,4,2,1
jodi,640.822,4,2,1
jodi,410.955,4,2,1
jodi,522.942,5,2,1
jodi,516.975,4,2,1
jodi,401.225,3,2,1
jodi,343.79,3,2,1
jodi,525.119,4,2,1
jodi,451.234,3,2,1
jodi,720.975,5,2,1
jodi,779.489,4,2,1
jodi,871.64,5,2,1
jodi,729.901,4,2,1
jodi,646.235,3,2,1
jodi,441.426,3,2,1
jodi,378.2,2,2,1
jodi,591.058,4,2,1
jodi,759.634,3,2,1
jodi,405.027,4,2,1
jodi,546.601,3,2,1
jodi,598.03,6,2,1
jodi,661.14,4,2,1
jodi,854.936,3,2,1
jodi,520.667,3,2,1
jodi,722.081,4,2,1
jodi,582.367,4,2,1
jodi,456.797,4,2,1
jodi,599.439,3,2,1
jodi,436.329,4,2,1
jodi,196.371,4,2,1
jodi,427.995,3,2,1
jodi,606.248,6,2,1
jodi,443.164,5,2,1
jodi,421.391,2,2,1
jodi,379.457,6,2,1
jodi,685.868,4,2,1
jodi,701.008,6,2,1
jodi,451.217,2,2,1
jodi,701.604,3,2,1
jodi,713.631,5,2,1
jodi,536.008,4,2,1
jodi,679.796,5,2,1
jodi,463.155,4,2,1
jodi,697.801,6,2,1
jodi,578.959,5,2,1
jodi,458.157,6,2,1
jodi,591.345,4,2,1
jodi,679.688,3,2,1
jodi,678.435,6,2,1
jodi,418.663,6,2,1
jodi,584.723,3,2,1
jodi,624.909,3,2,1
