protocol,latency,hops,oob_interaction,correct
oobss,502.038,3,2,1
oobss,499.321,2,2,1
oobss,359.066,3,2,1
oobss,326.49,4,2,1
oobss,478.485,2,2,1
oobss,379.523,2,2,1
oobss,382.108,3,2,1
oobss,452.509,3,2,1
oobss,517.695,4,2,1
oobss,389.075,4,2,1
oobss,277.599,3,2,1
oobss,389.893,4,2,1
oobss,415.164,4,2,1
oobss,178.574,3,2,1
oobss,448.963,2,2,1
oobss,387.647,4,2,1
oobss,570.98,3,2,1
oobss,430.649,3,2,1
oobss,249.65,2,2,1
oobss,418.456,3,2,1
oobss,768.71,2,2,1
oobss,300.226,4,2,1
oobss,253.68,3,2,1
oobss,336.576,4,2,1
oobss,652.797,5,2,1
oobss,311.325,4,2,1
oobss,191.409,5,2,1
oobss,430.234,5,2,1
oobss,467.269,5,2,1
oobss,443.799,3,2,1
oobss,404.694,4,2,1
oobss,272.207,3,2,1
oobss,569.959,3,2,1
oobss,434.432,3,2,1
oobss,281.462,4,2,1
oobss,391.451,3,2,1
oobss,761.147,3,2,1
oobss,417.066,2,2,1
oobss,304.811,5,2,1
oobss,346.593,2,2,1
oobss,588.292,3,2,1
oobss,205.338,2,2,1
oobss,282.667,5,2,1
oobss,425.858,4,2,1
oobss,664.219,3,2,1
oobss,476.952,2,2,1
oobss,369.601,3,2,1
oobss,524.679,3,2,1
oobss,529.795,2,2,1
oobss,300.907,3,2,1
oobss,226.337,4,2,1
oobss,407.562,3,2,1
oobss,549.502,4,2,1
oobss,211.337,4,2,1
oobss,274.376,4,2,1
oobss,290.071,2,2,1
oobss,640.865,3,2,1
oobss,465.582,4,2,1
oobss,320.578,5,2,1
oobss,368.778,3,2,1
oobss,486.033,3,2,1
oobss,381.359,3,2,1
oobss,495.708,4,2,1
oobss,340.168,3,2,1
oobss,532.019,3,2,1
oobss,388.816,4,2,1
oobss,244.349,3,2,1
oobss,354.754,3,2,1
oobss,666.089,2,2,1
oobss,244.548,6,2,1
oobss,163.573,3,2,1
oobss,443.617,4,2,1
oobss,596.986,3,2,1
oobss,309.898,4,2,1
oobss,268.386,4,2,1
oobss,178.432,4,2,1
oobss,724.513,2,2,1
oobss,207.198,4,2,1
oobss,303.29,2,2,1
oobss,248.784,4,2,1
oobss,612.637,3,2,1
oobss,248.693,3,2,1
oobss,350.258,3,2,1
oobss,397.718,4,2,1
oobss,444.299,2,2,1
oobss,327.889,5,2,1
oobss,284.618,2,2,1
oobss,582.248,6,2,1
oobss,453.627,6,2,1
oobss,422.004,2,2,1
oobss,486.681,4,2,1
oobss,305.35,3,2,1
oobss,707.736,3,2,1
oobss,363.807,5,2,1
oobss,209.223,4,2,1
oobss,318.178,5,2,1
oobss,600.121,3,2,1
oobss,265.711,3,2,1
oobss,531.37,3,2,1
oobss,178.817,4,2,1
oobss,469.282,6,2,1
oobss,308.553,4,2,1
oobss,193.771,5,2,1
oobss,400.821,4,2,1
oobss,532.355,2,2,1
oobss,437.968,4,2,1
oobss,390.033,3,2,1
oobss,453.222,4,2,1
oobss,418.336,3,2,1
oobss,359.699,4,2,1
oobss,399.373,3,2,1
oobss,213.851,4,2,1
oobss,589.821,4,2,1
oobss,211.6,6,2,1
oobss,355.586,4,2,1
oobss,436.735,3,2,1
oobss,541.299,4,2,1
oobss,324.669,3,2,1
oobss,367.521,3,2,1
oobss,390.054,6,2,1
oobss,691.378,4,2,1
oobss,283.675,4,2,1
oobss,226.485,4,2,1
oobss,245.353,5,2,1
oobss,532.625,7,2,1
oobss,261.585,3,2,1
oobss,278.399,3,2,1
oobss,348.672,3,2,1
oobss,609.788,4,2,1
oobss,475.881,3,2,1
oobss,326.918,5,2,1
oobss,270.233,3,2,1
oobss,808.983,3,2,1
oobss,424.248,3,2,1
oobss,433.061,3,2,1
oobss,503.741,3,2,1
oobss,774.816,4,2,1
oobss,282.551,5,2,1
oobss,393.729,3,2,1
oobss,415.903,5,2,1
oobss,537.937,2,2,1
oobss,202.97,4,2,1
oobss,498.914,4,2,1
oobss,410.407,3,2,1
oobss,690.298,5,2,1
oobss,414.728,4,2,1
oobss,309.289,4,2,1
oobss,313.96,4,2,1
oobss,785.199,3,2,1
oobss,465.415,4,2,1
oobss,384.112,3,2,1
oobss,229.117,5,2,1
oobss,544.222,3,2,1
oobss,404.264,4,2,1
oobss,438.693,6,2,1
oobss,293.268,5,2,1
oobss,468.875,6,2,1
oobss,326.469,3,2,1
oobss,349.539,4,2,1
oobss,505.023,2,2,1
oobss,581.808,3,2,1
oobss,380.91,3,2,1
oobss,220.768,4,2,1
oobss,193.07,3,2,1
oobss,750.909,4,2,1
oobss,390.471,6,2,1
oobss,396.169,4,2,1
oobss,286.219,2,2,1
oobss,580.908,3,2,1
oobss,493.108,3,2,1
oobss,303.215,4,2,1
oobss,442.976,3,2,1
oobss,579.044,3,2,1
oobss,328.366,4,2,1
oobss,353.33,4,2,1
oobss,251.39,3,2,1
oobss,676.179,5,2,1
oobss,349.6,5,2,1
oobss,453.135,4,2,1
oobss,397.97,5,2,1
oobss,556.628,3,2,1
oobss,214.262,4,2,1
oobss,330.303,2,2,1
oobss,320.67,4,2,1
oobss,505.984,3,2,1
oobss,181.553,4,2,1
oobss,423.247,5,2,1
oobss,202.295,3,2,1
oobss,733.876,4,2,1
oobss,392.213,4,2,1
oobss,444.91,5,2,1
oobss,236.549,4,2,1
oobss,437.108,5,2,1
oobss,321.348,4,2,1
oobss,188.863,3,2,1
oobss,583.904,3,2,1
oobss,517.173,4,2,1
oobss,497.99,5,2,1
oobss,363.82,5,2,1
oobss,365.033,3,2,1
oobss,591.009,4,2,1
oobss,457.789,3,2,1
oobss,554.316,3,2,1
oobss,159.479,5,2,1
oobss,552.069,3,2,1
oobss,217.129,5,2,1
oobss,187.906,2,2,1
oobss,295.477,4,2,1
oobss,364.418,4,2,1
oobss,363.897,4,2,1
oobss,369.681,4,2,1
oobss,191.299,4,2,1
oobss,573.014,4,2,1
oobss,460.519,2,2,1
oobss,287.568,2,2,1
oobss,369.163,4,2,1
oobss,570.27,3,2,1
oobss,433.009,4,2,1
oobss,446.132,4,2,1
oobss,296.219,6,2,1
oobss,556.41,4,2,1
oobss,437.633,4,2,1
oobss,380.862,3,2,1
oobss,259.615,4,2,1
oobss,855.192,5,2,1
oobss,363.065,3,2,1
oobss,420.79,5,2,1
oobss,463.524,3,2,1
oobss,474.911,3,2,1
oobss,429.107,5,2,1
oobss,404.706,2,2,1
oobss,289.91,5,2,1
oobss,530.919,4,2,1
oobss,409.777,3,2,1
oobss,460.041,3,2,1
oobss,289.044,3,2,1
oobss,701.533,5,2,1
oobss,395.828,4,2,1
oobss,409.081,3,2,1
oobss,354.79,3,2,1
oobss,652.023,5,2,1
oobss,420.102,4,2,1
oobss,235.438,3,2,1
oobss,327.168,2,2,1
oobss,503.667,3,2,1
oobss,349.053,4,2,1
oobss,494.979,3,2,1
oobss,293.158,4,2,1
oobss,661.766,5,2,1
oobss,437.4,3,2,1
oobss,352.513,3,2,1
oobss,546.064,5,2,1
oobss,622.988,3,2,1
oobss,172.351,4,2,1
oobss,425.173,4,2,1
