Protocol,VUs,Calls-Sent,Calls-Processed,Success-Rate
jodi,100,6672,6672,100.0
oob-s/s,100,13115,13115,100.0
jodi,200,7179,7147,99.554
oob-s/s,200,16190,16190,100.0
jodi,300,7634,7515,98.441
oob-s/s,300,16926,16926,100.0
jodi,400,8177,8140,99.548
oob-s/s,400,16914,16914,100.0
jodi,500,8424,8385,99.537
oob-s/s,500,16712,16580,99.21
jodi,700,8736,8621,98.684
oob-s/s,700,17003,16781,98.694
jodi,900,9530,8342,87.534
oob-s/s,900,16988,15026,88.451
jodi,1000,9844,8704,88.419
oob-s/s,1000,16840,12844,76.271
jodi,1500,11932,7836,65.672
oob-s/s,1500,17332,6390,36.868
jodi,2000,12329,6696,54.311
oob-s/s,2000,20538,768,3.739
jodi,2500,13458,4219,31.349
oob-s/s,2500,25399,397,1.563
jodi,3000,15952,2250,14.105
oob-s/s,3000,30014,0,0
jodi,3500,17502,585,3.342
oob-s/s,3500,35048,0,0
jodi,4000,20000,134,0.67
oob-s/s,4000,40073,0,0
jodi,4500,22520,417,1.852
oob-s/s,4500,45146,1,0.002
jodi,5000,25013,242,0.967
oob-s/s,5000,50107,0,0
jodi,5500,27520,262,0.952
oob-s/s,5500,55125,0,0
jodi,6000,30025,573,1.908
oob-s/s,6000,60115,0,0
jodi,6500,32536,549,1.687
oob-s/s,6500,65103,0,0
jodi,7000,35042,468,1.336
oob-s/s,7000,70065,0,0
