Timestamp,Name,CPUPerc,MemUsage,MemPerc,NetIO,BlockIO,PIDs
2025-06-05T21:34:29,evaluator,394.08,244.3MiB,0.39,41.2MB,0B,5
2025-06-05T21:34:30,auditlog,0.53,249.4MiB,0.40,193MB,0B,5
2025-06-05T21:34:30,keyrotation,0.00,17.22MiB,0.03,4.76kB,0B,1
2025-06-05T21:34:30,message-store,391.81,243.3MiB,0.39,52.9MB,0B,5
2025-06-05T21:34:30,als_client_worker,53.74,28.26MiB,0.05,55MB,0B,34
2025-06-05T21:34:30,als_server_worker,55.80,28.75MiB,0.05,870kB,0B,34
2025-06-05T21:34:30,scheduler,0.39,17.79MiB,0.03,113kB,0B,1
2025-06-05T21:34:30,jodi-cache,13.58,17.7MiB,0.03,86.5MB,0B,6
2025-06-05T21:34:42,evaluator,378.11,255.2MiB,0.41,54MB,0B,5
2025-06-05T21:34:42,auditlog,0.72,251.3MiB,0.40,251MB,0B,5
2025-06-05T21:34:42,keyrotation,0.00,17.22MiB,0.03,5.46kB,0B,1
2025-06-05T21:34:42,message-store,382.62,255.8MiB,0.41,70.5MB,0B,5
2025-06-05T21:34:42,als_client_worker,12.15,19.39MiB,0.03,72.5MB,0B,2
2025-06-05T21:34:42,als_server_worker,204.33,19.4MiB,0.03,894kB,0B,2
2025-06-05T21:34:42,scheduler,0.38,17.79MiB,0.03,130kB,0B,1
2025-06-05T21:34:42,jodi-cache,13.10,17.8MiB,0.03,117MB,0B,6
2025-06-05T21:34:55,evaluator,397.70,264.8MiB,0.42,66.9MB,0B,5
2025-06-05T21:34:55,auditlog,23.50,251.1MiB,0.40,318MB,0B,5
2025-06-05T21:34:55,keyrotation,0.00,17.22MiB,0.03,5.81kB,0B,1
2025-06-05T21:34:55,message-store,397.40,267.2MiB,0.43,88.2MB,0B,5
2025-06-05T21:34:55,als_client_worker,30.91,19.42MiB,0.03,92.8MB,0B,2
2025-06-05T21:34:55,als_server_worker,0.00,19.39MiB,0.03,917kB,0B,2
2025-06-05T21:34:55,scheduler,0.00,17.79MiB,0.03,146kB,0B,1
2025-06-05T21:34:55,jodi-cache,12.92,17.74MiB,0.03,146MB,0B,6
2025-06-05T21:35:08,evaluator,383.03,274MiB,0.44,79.6MB,0B,5
2025-06-05T21:35:08,auditlog,0.56,252.3MiB,0.40,376MB,0B,5
2025-06-05T21:35:08,keyrotation,0.00,17.22MiB,0.03,6.16kB,0B,1
2025-06-05T21:35:08,message-store,389.86,278.1MiB,0.44,106MB,0B,5
2025-06-05T21:35:08,als_client_worker,181.38,48MiB,0.08,110MB,0B,34
2025-06-05T21:35:08,als_server_worker,171.06,50.25MiB,0.08,941kB,0B,34
2025-06-05T21:35:08,scheduler,0.38,17.79MiB,0.03,166kB,0B,1
2025-06-05T21:35:08,jodi-cache,12.85,17.77MiB,0.03,172MB,0B,6
2025-06-05T21:35:21,evaluator,391.85,283.6MiB,0.45,92.4MB,0B,5
2025-06-05T21:35:21,auditlog,18.76,253.2MiB,0.40,443MB,0B,5
2025-06-05T21:35:21,keyrotation,0.00,17.22MiB,0.03,6.58kB,0B,1
2025-06-05T21:35:21,message-store,393.70,289.2MiB,0.46,123MB,0B,5
2025-06-05T21:35:21,als_client_worker,74.94,29.01MiB,0.05,127MB,0B,34
2025-06-05T21:35:21,als_server_worker,120.05,19.45MiB,0.03,966kB,0B,2
2025-06-05T21:35:21,scheduler,0.00,17.79MiB,0.03,182kB,0B,1
2025-06-05T21:35:21,jodi-cache,12.87,17.61MiB,0.03,202MB,0B,6
2025-06-05T21:35:33,evaluator,396.32,293.1MiB,0.47,105MB,0B,5
2025-06-05T21:35:33,auditlog,27.17,249.9MiB,0.40,502MB,0B,5
2025-06-05T21:35:33,keyrotation,0.00,17.22MiB,0.03,7.28kB,0B,1
2025-06-05T21:35:33,message-store,396.18,300.5MiB,0.48,140MB,0B,5
2025-06-05T21:35:33,als_client_worker,9.27,19.4MiB,0.03,148MB,0B,2
2025-06-05T21:35:33,als_server_worker,0.00,19.38MiB,0.03,989kB,0B,2
2025-06-05T21:35:33,scheduler,0.00,17.79MiB,0.03,199kB,0B,1
2025-06-05T21:35:34,jodi-cache,13.40,17.88MiB,0.03,229MB,0B,6
2025-06-05T21:35:46,evaluator,387.78,303MiB,0.48,118MB,0B,5
2025-06-05T21:35:46,auditlog,0.57,253MiB,0.40,559MB,0B,5
2025-06-05T21:35:46,keyrotation,0.00,17.22MiB,0.03,7.63kB,0B,1
2025-06-05T21:35:46,message-store,389.53,310.8MiB,0.50,158MB,0B,5
2025-06-05T21:35:46,als_client_worker,36.72,19.4MiB,0.03,165MB,0B,2
2025-06-05T21:35:46,als_server_worker,200.95,19.39MiB,0.03,1.02MB,0B,2
2025-06-05T21:35:46,scheduler,0.35,17.79MiB,0.03,218kB,0B,1
2025-06-05T21:35:46,jodi-cache,13.00,17.57MiB,0.03,259MB,0B,6
2025-06-05T21:35:59,evaluator,397.42,312.8MiB,0.50,131MB,0B,5
2025-06-05T21:35:59,auditlog,20.11,252.3MiB,0.40,627MB,0B,5
2025-06-05T21:35:59,keyrotation,0.00,17.22MiB,0.03,7.97kB,0B,1
2025-06-05T21:35:59,message-store,396.42,320.9MiB,0.51,175MB,0B,5
2025-06-05T21:35:59,als_client_worker,57.32,19.39MiB,0.03,185MB,0B,2
2025-06-05T21:35:59,als_server_worker,17.54,19.39MiB,0.03,1.04MB,0B,2
2025-06-05T21:35:59,scheduler,0.00,17.79MiB,0.03,235kB,0B,1
2025-06-05T21:35:59,jodi-cache,12.67,17.38MiB,0.03,285MB,0B,6
2025-06-05T21:36:12,evaluator,391.84,321.7MiB,0.51,144MB,0B,5
2025-06-05T21:36:12,auditlog,0.57,251MiB,0.40,685MB,0B,5
2025-06-05T21:36:12,keyrotation,0.11,17.22MiB,0.03,8.67kB,0B,1
2025-06-05T21:36:12,message-store,392.99,332.5MiB,0.53,193MB,0B,5
2025-06-05T21:36:12,als_client_worker,139.14,31.13MiB,0.05,203MB,0B,34
2025-06-05T21:36:12,als_server_worker,125.57,30.29MiB,0.05,1.06MB,0B,34
2025-06-05T21:36:12,scheduler,0.52,17.79MiB,0.03,254kB,0B,1
2025-06-05T21:36:12,jodi-cache,12.88,19.58MiB,0.03,314MB,0B,6
2025-06-05T21:36:24,evaluator,398.14,331.6MiB,0.53,155MB,0B,5
2025-06-05T21:36:24,auditlog,1.83,254.5MiB,0.41,752MB,0B,5
2025-06-05T21:36:24,keyrotation,0.00,17.22MiB,0.03,9.02kB,0B,1
2025-06-05T21:36:25,message-store,381.64,343MiB,0.55,211MB,0B,5
2025-06-05T21:36:25,als_client_worker,236.94,81.69MiB,0.13,223MB,0B,34
2025-06-05T21:36:25,als_server_worker,199.24,19.39MiB,0.03,1.09MB,0B,2
2025-06-05T21:36:25,scheduler,0.44,17.79MiB,0.03,271kB,0B,1
2025-06-05T21:36:25,jodi-cache,13.70,19.57MiB,0.03,345MB,0B,6
2025-06-05T21:36:37,evaluator,398.05,341.1MiB,0.54,169MB,0B,5
2025-06-05T21:36:37,auditlog,21.11,254.3MiB,0.41,813MB,0B,5
2025-06-05T21:36:37,keyrotation,0.00,17.22MiB,0.03,9.37kB,0B,1
2025-06-05T21:36:37,message-store,397.30,354.1MiB,0.56,228MB,0B,5
2025-06-05T21:36:37,als_client_worker,218.91,67.72MiB,0.11,240MB,0B,34
2025-06-05T21:36:37,als_server_worker,0.00,19.39MiB,0.03,1.11MB,0B,2
2025-06-05T21:36:37,scheduler,0.00,17.79MiB,0.03,287kB,0B,1
2025-06-05T21:36:37,jodi-cache,13.18,21.87MiB,0.03,371MB,0B,6
2025-06-05T21:36:50,evaluator,391.39,350.5MiB,0.56,182MB,0B,5
2025-06-05T21:36:50,auditlog,0.59,247.4MiB,0.39,874MB,0B,5
2025-06-05T21:36:50,keyrotation,0.00,17.22MiB,0.03,9.72kB,0B,1
2025-06-05T21:36:50,message-store,395.73,362.6MiB,0.58,244MB,0B,5
2025-06-05T21:36:50,als_client_worker,175.16,53.23MiB,0.08,258MB,0B,34
2025-06-05T21:36:50,als_server_worker,187.61,54.37MiB,0.09,1.13MB,0B,34
2025-06-05T21:36:50,scheduler,0.49,17.8MiB,0.03,307kB,0B,1
2025-06-05T21:36:50,jodi-cache,12.91,16.71MiB,0.03,401MB,0B,6
2025-06-05T21:37:03,evaluator,396.84,361MiB,0.57,195MB,0B,5
2025-06-05T21:37:03,auditlog,25.80,246.8MiB,0.39,942MB,0B,5
2025-06-05T21:37:03,keyrotation,0.00,17.22MiB,0.03,10.4kB,0B,1
2025-06-05T21:37:03,message-store,395.81,373.9MiB,0.60,263MB,0B,5
2025-06-05T21:37:03,als_client_worker,81.09,19.41MiB,0.03,278MB,0B,2
2025-06-05T21:37:03,als_server_worker,51.67,19.39MiB,0.03,1.16MB,0B,2
2025-06-05T21:37:03,scheduler,0.00,17.8MiB,0.03,323kB,0B,1
2025-06-05T21:37:03,jodi-cache,12.85,19.74MiB,0.03,427MB,0B,6
2025-06-05T21:37:16,evaluator,397.44,370.9MiB,0.59,207MB,0B,5
2025-06-05T21:37:16,auditlog,16.76,253.6MiB,0.40,999MB,0B,5
2025-06-05T21:37:16,keyrotation,0.00,17.22MiB,0.03,10.8kB,0B,1
2025-06-05T21:37:16,message-store,396.89,385.3MiB,0.61,281MB,0B,5
2025-06-05T21:37:16,als_client_worker,2.86,19.39MiB,0.03,295MB,0B,2
2025-06-05T21:37:16,als_server_worker,0.00,19.38MiB,0.03,1.18MB,0B,2
2025-06-05T21:37:16,scheduler,0.00,17.8MiB,0.03,340kB,0B,1
2025-06-05T21:37:16,jodi-cache,14.08,17.86MiB,0.03,456MB,0B,6
2025-06-05T21:37:28,evaluator,378.92,380.6MiB,0.61,220MB,0B,5
2025-06-05T21:37:28,auditlog,0.57,255.5MiB,0.41,1.06GB,0B,5
2025-06-05T21:37:28,keyrotation,0.00,17.22MiB,0.03,11.2kB,0B,1
2025-06-05T21:37:28,message-store,385.37,395.6MiB,0.63,298MB,0B,5
2025-06-05T21:37:28,als_client_worker,219.94,68.18MiB,0.11,316MB,0B,34
2025-06-05T21:37:28,als_server_worker,204.70,19.39MiB,0.03,1.21MB,0B,2
2025-06-05T21:37:28,scheduler,0.40,17.8MiB,0.03,359kB,0B,1
2025-06-05T21:37:28,jodi-cache,12.78,17.64MiB,0.03,484MB,0B,6
2025-06-05T21:37:41,evaluator,397.04,389.9MiB,0.62,233MB,0B,5
2025-06-05T21:37:41,auditlog,29.97,249MiB,0.40,1.13GB,0B,5
2025-06-05T21:37:41,keyrotation,0.08,17.22MiB,0.03,11.9kB,0B,1
