index,frn,business_name,contact_telephone_number,business_address,contact_business_address,implementation
1,0021441233,Piratel llc,5622573590,"10572 Calle Lee
Ste 123
Los Alamitos CA 90720","10572 Calle Lee
Los Alamitos CA 90720",Complete STIR/SHAKEN Implementation
2,0018570812,UPSALA COOPERATIVE TELEPHONE ASSOCIATION,320-573-1390,"P O BOX 277
UPSALA MN 56384","117 Main Street
Upsala MN 56384",Partial STIR/SHAKEN Implementation - Performing Robocall Mitigation
3,0022139232,"Ytel, Inc.",8003824913,"26632 Towne Centre Dr Suite 300
#300
Foothill Ranch CA 92610","26632 Towne Centre Dr Suite 300
#300
Foothill Ranch CA 92610",Complete STIR/SHAKEN Implementation
4,0023647860,R SQUARED TELECOM LLC,832-506-0905,"526 S. Main Street, Suite 80
Akron OH 44311","526 S. Main Street, Suite 80
Akron OH 44311",Partial STIR/SHAKEN Implementation - Performing Robocall Mitigation
5,0022342109,"Bluetone Communications, LLC",737-249-0449,"526 S Main Street
Suite 802
Akron OH 44311","526 S Main Street
Akron OH 44311",Partial STIR/SHAKEN Implementation - Performing Robocall Mitigation
6,0024029514,Access Tandem Inc.,7252224881,"1810 E. Sahara Ave
Suite 430
Las Vegas NV 89104","1810 E. Sahara Ave
Suite 430
Las Vegas NV 89104",Complete STIR/SHAKEN Implementation
7,0012167557,"Barr Tell Usa, Inc.",5167080111,"218 East Park Ave.
Suite 522
Long Beach NY 11561","218 East Park Ave.
Long Beach NY 11561",Complete STIR/SHAKEN Implementation
8,0025628439,VoiceTerm Inc.,3078889181,"1712 Pioneer Avenue
STE 500
Cheyenne WY 82001","1712 Pioneer Avenue
STE 500
Cheyenne WY 82001",Complete STIR/SHAKEN Implementation
9,0017253535,"Peerless Network, Inc",3125060933,"433 W. Van Buren
Suite 410S
Chicago IL 60607","433 W. Van Buren Street Suite 410S
Chicago IL 60607",Complete STIR/SHAKEN Implementation
10,0009034182,"Airus, Inc.",3125060933,"433 W Van Buren
Suite 410S
Chicago Illinois 60607","433 W. Van Buren Street
Suite 410S
Chicago IL 60607",Complete STIR/SHAKEN Implementation
11,0027930668,"Whisl Telecom, LLC",201-316-7834,"5435 N. Garland Ave.
Suite 140-507
Garland TX 75040","5435 N. Garland Ave.
Suite 140-507
Garland TX 75040",Complete STIR/SHAKEN Implementation
12,0027249580,LP Telecom,2146201515,"1332 Teasley Lane
Ste 100C
Denton TX 76205","1332 Teasley Lane
Ste 100C
Denton TX 76205",Complete STIR/SHAKEN Implementation
13,0025544289,200 Networks LLC,8325060905,"10580 N McCarran Blvd 115-302
Reno NV 89503","526 South Main Street,�Suite 802,
Akron OH 44311",No STIR/SHAKEN Implementation - Performing Robocall Mitigation
14,0004285623,"Brazos Telephone Cooperative, Inc.",9405645659,"109 N Ave D
Olney TX 76374","109 N Ave D
Olney TX 76374",Partial STIR/SHAKEN Implementation - Performing Robocall Mitigation
15,0004330023,Network Communications International Corp. a/k/a NCIC Inmate Communications,903-757-4455,"PO BOX 551
Longview TX 75606","PO BOX 551
Longview TX 75606",Complete STIR/SHAKEN Implementation
16,0017096538,US Internet Corp,9522533252,"12450 Wayzata Blvd.
Suite 315
Minnetonka MN 55305","12450 Wayzata Blvd.
Minnetonka MN 55305",Complete STIR/SHAKEN Implementation
17,0030531503,"Fonative, LLC",9522216267,"1150 W. Kilgore Ave
Muncie IN 47305","7204 Bristol Circle
Edina MN 55435",Complete STIR/SHAKEN Implementation
18,0003734167,Columbus Communications Services,6204293132,"224 S. Kansas
Columbus KS 66725","224 S Kansas Ave
Columbus KS 66725",Partial STIR/SHAKEN Implementation - Performing Robocall Mitigation
19,0030842355,Aloha Tone,8088411000,"518 Holokahana Lane
Honolulu HI 96817","518 Holokahana Lane
Honolulu HI 96817",Partial STIR/SHAKEN Implementation - Performing Robocall Mitigation
20,0024200370,MULTITEL LLC,8886868581,"4103 Oak Tree Circle
Rochester MI 48306","4103 Oak Tree Circle
Rochester MI 48306",Complete STIR/SHAKEN Implementation
21,0001551241,The Siskiyou Telephone Co.,5304676000,"PO Box 157
30 Telco Way
Etna CA 96027","PO Box 157
30 Telco Way
Etna CA 96027",Complete STIR/SHAKEN Implementation
22,0027511286,NT telecom,3477261869,"104 Parkville Ave.
Brooklyn NY 11230",N/A,No STIR/SHAKEN Implementation - Performing Robocall Mitigation
23,0020926788,LTD Broadband LLC,507-318-0143,"69 Teahouse St
Las Vegas NV 89138","69 Teahouse St
Las Vegas NV 89138",Complete STIR/SHAKEN Implementation
24,0018456251,"Computer Telephony Innovations, Inc.",7012648100,"1723 N. Walnut St.
Wahoo NE 68066","509 25th Ave N
Fargo ND 58102",Complete STIR/SHAKEN Implementation
25,0025466137,"Infotel Systems, Inc.",804-264-4205,"6008 Hermitage Road
Henrico VA 23228","6008 Hermitage Road
Henrico VA 23228",Complete STIR/SHAKEN Implementation
26,0030209019,Clearly IP Inc.,9203833100,"3255 W Highview Dr
Appleton WI 54914","3255 W Highview Dr
Appleton WI 54914",Complete STIR/SHAKEN Implementation
27,0028809465,3 Billionaires Corporation,347-266-0000,"4140 Union St.
Suite 14D
Flushiing NY 11355","4140 Union St.
Flushiing NY 11355",Complete STIR/SHAKEN Implementation
28,0017591066,Vonage Business Inc.,864 477 9651,"101 Crawfords Corner Road, Suite 2416
Holmdel NJ 07733","101 Crawfords Corner Road, Suite 2416
Holmdel NJ 07733",Complete STIR/SHAKEN Implementation
29,0001685718,"Valley Telephone Cooperative, Inc.",8006879725,"881 E Hidalgo Ave
Raymondville TX 78580","480 S 6th Street
Raymondville TX 78580",Partial STIR/SHAKEN Implementation - Performing Robocall Mitigation
30,0017535386,"VTX Communications, LLC",8006879725,"881 E. Hidalgo Ave
Raymondville TX 78580","480 S 6th Street
Raymondville TX 78580",Partial STIR/SHAKEN Implementation - Performing Robocall Mitigation
31,0001952605,Surry Telephone Membership Corporation,3363745021,"819 E Atkins St
PO Box 385
Dobson NC 27017","819 E Atkins St
PO Box 385
Dobson NC 27017",Partial STIR/SHAKEN Implementation - Performing Robocall Mitigation
32,0013563077,YMax Communications Corp.,9088067096,"931 Village Blvd
Suite 905 Box 386
West Palm Beach FL 33409","931 Village Blvd
West Palm Beach FL 33409",Complete STIR/SHAKEN Implementation
33,0022777379,"Bulk Solutions, LLC",8559060901,"704 N. King Street
uite 500
Wilmington DE 19801","1201 N Orange Street
Suite #7125
Wilmington DE 19801",Complete STIR/SHAKEN Implementation
34,0028107282,White Cloud Communications US LLC DBA: Broadlinc,5022154111,"150 PROGRESS WAY
OWENTON KY 40359","150 PROGRESS WAY
OWENTON KY 40359",Complete STIR/SHAKEN Implementation
35,0003749819,Cassadaga Telephone Corporation,716-673-3091,"40 TEMPLE ST
PO BOX 209
FREDONIA NY 14063","40 TEMPLE ST
FREDONIA NY 14063",Partial STIR/SHAKEN Implementation - Performing Robocall Mitigation
36,0003414224,Dunkirk and Fredonia Telephone Company,716-673-3091,"40 Temple St
PO BOX 209
Fredonia NY 14063","40 Temple St
Fredonia NY 14063",Partial STIR/SHAKEN Implementation - Performing Robocall Mitigation
37,0003749843,DFT Local Service Corporation,716-673-3091,"40 TEMPLE ST
PO BOX 209
FREDONIA NY 14063","40 TEMPLE ST
FREDONIA NY 14063",Partial STIR/SHAKEN Implementation - Performing Robocall Mitigation
