index,number,frn,business_name,business_address,foreign_voice_provider,country,other_frns,other_dba_names,previous_dba_names,robocall_mitigation_contact_name,contact_title,contact_department,contact_business_address,contact_country,contact_telephone_number,contact_phone_extension,implementation,voice_service_provider_choice,gateway_provider_choice,intermediate_provider_choice,last_updated,filing_url
2001,RMD0004008,16085920,"'@Link Services, LLC",13431 Broadway Ext Suite 120 Oklahoma City OK 73114,No,United States of America,,"AtLink Services, LLC",,Rajendrakumar Veerappan,Chief Technical Officer,Network,"13431 Broadway Ext., Suite 120 Oklahoma City OK 73114",United States of America,405-202-3062,,Yes,Yes,No,Yes,2024-04-24,https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=fd4bb5a11b0574107ccf20ecac4bcb8a&view=sp
2700,RMD0005048,26223164,0026223164,859 Willamette St. Ste 250 Eugene OR 97401,No,United States of America,,,,Ben Shapiro,Systems Engineer,Engineering,859 Willamette St. Eugene OR 97401,United States of America,541-363-0260,,Partial,Yes,No,No,,https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=f723063d1bbd7c105eb762cfe54bcbf8&view=sp
7784,RMD0015669,34607606,011 Telecom LLC,2333 North State Route 7 Suite E Margate FL 33063,No,United States of America,,,,Marcelo Licht,CEO,Executive,2333 North State Route 7 Suite E Margate FL 33063,United States of America,954-585-9292,,Yes,Yes,Yes,No,2024-05-24,https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=fade099e1b4335100b916577624bcb28&view=sp
366,RMD0001890,19072701,1 Call Connect,289 South Robertson Blvd Suite 239 Beverly Hills CA 90211,No,United States of America,,,,Jane Peters,Regulatory & Compliance,Regulatory Department,289 South Robertson Blvd Suite 239 Beverly Hills CA 90211,United States of America,(310) 909-8709,105,Yes,No,No,Yes,2024-04-29,https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=8d6b73f51b60b810822320efe54bcbae&view=sp
3574,RMD0006312,21352968,1 Point Communications,44 Kingston Drive Suite 135 Daleville VA 24083,No,United States of America,,,,Andrew Craft,Sales Support Engineer,Sales,44 Kingston Drive Suite 135 Daleville VA 24083,United States of America,5406276505,,Yes,Yes,No,No,2024-04-11,https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=941ac9d31bea3050e560873fe54bcb0a&view=sp
4051,RMD0006927,31419690,"1-VoIP Enhanced Services, LLC",80 E. 5th St. Suite 200 Edmond OK 73034,No,United States of America,,,,Josh Taylor,President,Administrative,80 E. 5th St. Suite 200 Edmond OK 73034,United States of America,4055638990,,Yes,Yes,No,No,2024-04-18,https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=02ef815d1bb63410165aedfde54bcb01&view=sp
2384,RMD0004559,18247254,101Netlink,P.O. Box 101 Whitethorn CA 95589,No,United States of America,,,,Seth Johannesen,Partner,VoIP Admin,P.O. Box 101 Whitethorn CA 95589,United States of America,(707)923-4000,500,Yes,Yes,No,No,2024-04-18,https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=d69f9b391b49f4107ccf20ecac4bcb00&view=sp
7877,RMD0016152,31606809,10TEL LLC,848 Brickell Ave #810 Miami FL 33131,No,United States of America,0005100383;  0031735129;  0007804123,,,Santiago Sanchez,VP Operations,Operations,848 Brickell Ave #810 Miami FL 33131,United States of America,'+1 786 546 1186,,Yes,No,Yes,No,2024-04-11,https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=1f28b1d487d84e504990740acebb3557&view=sp
8825,RMD0021795,35482439,12 South Computer,1606 Covington Drive Brentwood TN 37027,No,United States of America,,,,C Grey Carter,Owener,Owner,1606 Covington Drive Brentwood TN 37027,United States of America,6156187448,,Yes,Yes,Yes,No,2024-06-06,https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=c7e3e0071b6a4650df7954e2604bcbf7&view=sp
2511,RMD0004725,8590846,"123.Net, Inc",24700 Northwestern Hwy Suite 700 Southfield MI 48075,No,United States of America,,"Local Exchange Carriers of Michigan, Inc.","Prime Circuits, Internet 123, Inc.",James Kandler,COO,Support,24700 Northwestern Hwy Suite 700 Southfield MI 48075,United States of America,248-724-2201,,Partial,Yes,No,Yes,2024-02-27,https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=d76c340e1b4d38102eb2a82fe54bcb87&view=sp
