index,frn,business_name,contact_telephone_number,business_address,contact_business_address,implementation
1,21441233.0,Piratel llc,5622573590,10572 Calle Lee Ste 123 Los Alamitos CA 90720,10572 Calle Lee Los Alamitos CA 90720,Complete STIR/SHAKEN Implementation
2,18570812.0,UPSALA COOPERATIVE TELEPHONE ASSOCIATION,320-573-1390,P O BOX 277 UPSALA MN 56384,117 Main Street Upsala MN 56384,Partial STIR/SHAKEN Implementation - Performing Robocall Mitigation
3,22139232.0,"Ytel, Inc.",8003824913,26632 Towne Centre Dr Suite 300 #300 Foothill Ranch CA 92610,26632 Towne Centre Dr Suite 300 #300 Foothill Ranch CA 92610,Complete STIR/SHAKEN Implementation
4,23647860.0,R SQUARED TELECOM LLC,832-506-0905,"526 S. Main Street, Suite 80 Akron OH 44311","526 S. Main Street, Suite 80 Akron OH 44311",Partial STIR/SHAKEN Implementation - Performing Robocall Mitigation
5,22342109.0,"Bluetone Communications, LLC",737-249-0449,526 S Main Street Suite 802 Akron OH 44311,526 S Main Street Akron OH 44311,Partial STIR/SHAKEN Implementation - Performing Robocall Mitigation
6,24029514.0,Access Tandem Inc.,7252224881,1810 E. Sahara Ave Suite 430 Las Vegas NV 89104,1810 E. Sahara Ave Suite 430 Las Vegas NV 89104,Complete STIR/SHAKEN Implementation
7,12167557.0,"Barr Tell Usa, Inc.",5167080111,218 East Park Ave. Suite 522 Long Beach NY 11561,218 East Park Ave. Long Beach NY 11561,Complete STIR/SHAKEN Implementation
8,25628439.0,VoiceTerm Inc.,3078889181,1712 Pioneer Avenue STE 500 Cheyenne WY 82001,1712 Pioneer Avenue STE 500 Cheyenne WY 82001,Complete STIR/SHAKEN Implementation
9,17253535.0,"Peerless Network, Inc",3125060933,433 W. Van Buren Suite 410S Chicago IL 60607,433 W. Van Buren Street Suite 410S Chicago IL 60607,Complete STIR/SHAKEN Implementation
10,9034182.0,"Airus, Inc.",3125060933,433 W Van Buren Suite 410S Chicago Illinois 60607,433 W. Van Buren Street Suite 410S Chicago IL 60607,Complete STIR/SHAKEN Implementation
11,27930668.0,"Whisl Telecom, LLC",201-316-7834,5435 N. Garland Ave. Suite 140-507 Garland TX 75040,5435 N. Garland Ave. Suite 140-507 Garland TX 75040,Complete STIR/SHAKEN Implementation
12,27249580.0,LP Telecom,2146201515,1332 Teasley Lane Ste 100C Denton TX 76205,1332 Teasley Lane Ste 100C Denton TX 76205,Complete STIR/SHAKEN Implementation
13,25544289.0,200 Networks LLC,8325060905,10580 N McCarran Blvd 115-302 Reno NV 89503,"526 South Main Street,�Suite 802, Akron OH 44311",No STIR/SHAKEN Implementation - Performing Robocall Mitigation
14,4285623.0,"Brazos Telephone Cooperative, Inc.",9405645659,109 N Ave D Olney TX 76374,109 N Ave D Olney TX 76374,Partial STIR/SHAKEN Implementation - Performing Robocall Mitigation
15,4330023.0,Network Communications International Corp. a/k/a NCIC Inmate Communications,903-757-4455,PO BOX 551 Longview TX 75606,PO BOX 551 Longview TX 75606,Complete STIR/SHAKEN Implementation
16,17096538.0,US Internet Corp,9522533252,12450 Wayzata Blvd. Suite 315 Minnetonka MN 55305,12450 Wayzata Blvd. Minnetonka MN 55305,Complete STIR/SHAKEN Implementation
17,30531503.0,"Fonative, LLC",9522216267,1150 W. Kilgore Ave Muncie IN 47305,7204 Bristol Circle Edina MN 55435,Complete STIR/SHAKEN Implementation
18,3734167.0,Columbus Communications Services,6204293132,224 S. Kansas Columbus KS 66725,224 S Kansas Ave Columbus KS 66725,Partial STIR/SHAKEN Implementation - Performing Robocall Mitigation
19,30842355.0,Aloha Tone,8088411000,518 Holokahana Lane Honolulu HI 96817,518 Holokahana Lane Honolulu HI 96817,Partial STIR/SHAKEN Implementation - Performing Robocall Mitigation
